Total iteracoes,Tempo total(ms),Solucao encontrada,BKS,Approximation Ratio
5,111.519,30043,27591,1.08887
10,171.254,29724,27591,1.07731
50,908.592,28822,27591,1.04462
100,1839.95,28822,27591,1.04462
500,9512.89,28712,27591,1.04063
1000,19046.2,28712,27591,1.04063
10000,190518,28473,27591,1.03197
