Total iteracoes,Tempo total(ms),Solucao encontrada,BKS,Approximation Ratio
5,306.866,14297,12747,1.1216
10,654.846,14297,12747,1.1216
50,3256.5,14162,12747,1.11101
100,6714.42,13839,12747,1.08567
500,32910.8,13839,12747,1.08567
1000,65633.8,13839,12747,1.08567
10000,655954,13474,12747,1.05703
