Total iteracoes,Tempo total(ms),Solucao encontrada,BKS,Approximation Ratio
5,722.258,22076,19565,1.12834
10,1436.44,21484,19565,1.09808
50,7133.98,21484,19565,1.09808
100,14245,21133,19565,1.08014
500,70204,21133,19565,1.08014
1000,140925,20987,19565,1.07268
10000,1415600,20781,19565,1.06215
