Temperatura inicial,Fator de temperatura,Tempo (ms),Solucao,BKS,Approximation Ratio
500,0.85,2743.93,31248,27591,1.13254
500,0.9,6120.56,31163,27591,1.12946
500,0.95,5074.57,31923,27591,1.15701
1000,0.85,3929.77,30723,27591,1.11352
1000,0.9,4859.91,31576,27591,1.14443
1000,0.95,6687.2,29524,27591,1.07006
2000,0.85,6605.9,30014,27591,1.08782
2000,0.9,3920.22,31466,27591,1.14044
2000,0.95,7398.16,29869,27591,1.08256
3000,0.85,5133.04,30686,27591,1.11217
3000,0.9,5030.56,30635,27591,1.11033
3000,0.95,10576.8,30911,27591,1.12033
4000,0.85,4590.48,32094,27591,1.16321
4000,0.9,4303.04,32336,27591,1.17198
4000,0.95,7223.78,29174,27591,1.05737
5000,0.85,6936.7,31567,27591,1.1441
5000,0.9,6230.24,30662,27591,1.1113
5000,0.95,4268.92,30697,27591,1.11257
6000,0.85,10997.1,30052,27591,1.0892
6000,0.9,5323.05,30683,27591,1.11207
6000,0.95,8853.01,30751,27591,1.11453
7000,0.85,7866.05,30196,27591,1.09441
7000,0.9,5365.28,30192,27591,1.09427
7000,0.95,9611.8,30347,27591,1.09989
8000,0.85,11092.2,29606,27591,1.07303
8000,0.9,7565,31011,27591,1.12395
8000,0.95,7598.45,31500,27591,1.14168
9000,0.85,3500.07,30772,27591,1.11529
9000,0.9,5564.07,32364,27591,1.17299
9000,0.95,6981.81,31129,27591,1.12823
10000,0.85,6579.22,32155,27591,1.16542
10000,0.9,7724.15,30645,27591,1.11069
10000,0.95,2947.17,31223,27591,1.13164
